freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.105e+03,3.842e+01,2.289e+01,1.166e+03
1.5,6.652e+02,1.210e+02,4.189e+01,8.280e+02
3.0,7.671e+01,1.298e+02,4.526e+01,2.518e+02
4.6,5.127e+02,1.357e+02,4.724e+01,6.956e+02
6.1,1.833e+03,1.436e+02,4.080e+01,2.017e+03
7.6,3.016e+03,1.222e+02,4.003e+01,3.178e+03
9.1,4.321e+03,1.151e+02,4.192e+01,4.478e+03
10.7,5.919e+03,1.278e+02,4.285e+01,6.090e+03
12.2,7.799e+03,1.321e+02,4.490e+01,7.976e+03
13.7,1.009e+04,1.204e+02,4.517e+01,1.025e+04
15.2,1.228e+04,1.387e+02,4.434e+01,1.246e+04
16.7,1.486e+04,1.281e+02,4.595e+01,1.503e+04
18.3,1.923e+04,1.440e+02,5.436e+01,1.943e+04
19.8,2.236e+04,1.575e+02,7.102e+01,2.259e+04
21.3,2.141e+04,1.424e+02,9.644e+01,2.165e+04
22.8,1.936e+04,1.476e+02,1.086e+02,1.961e+04
24.3,2.100e+04,1.370e+02,1.119e+02,2.125e+04
25.9,2.453e+04,1.360e+02,1.116e+02,2.477e+04
27.4,2.863e+04,1.372e+02,1.044e+02,2.887e+04
28.9,3.309e+04,1.505e+02,8.242e+01,3.332e+04
30.4,3.800e+04,1.474e+02,7.189e+01,3.822e+04
32.0,4.410e+04,1.561e+02,7.261e+01,4.433e+04
33.5,4.925e+04,1.714e+02,8.029e+01,4.950e+04
35.0,5.669e+04,1.888e+02,1.188e+02,5.700e+04
36.5,6.578e+04,2.440e+02,2.236e+02,6.624e+04
38.0,7.256e+04,4.288e+02,5.326e+02,7.352e+04
39.6,8.026e+04,8.696e+02,1.441e+03,8.257e+04
41.1,9.296e+04,1.776e+03,3.597e+03,9.833e+04
42.6,1.087e+05,3.198e+03,6.955e+03,1.189e+05
44.1,1.238e+05,4.010e+03,8.654e+03,1.364e+05
45.7,1.332e+05,4.211e+03,8.425e+03,1.458e+05
47.2,1.507e+05,5.604e+03,1.068e+04,1.670e+05
48.7,1.762e+05,7.213e+03,1.476e+04,1.982e+05
50.2,2.097e+05,7.390e+03,1.673e+04,2.338e+05
51.7,2.478e+05,5.858e+03,1.442e+04,2.681e+05
53.3,2.829e+05,3.475e+03,9.663e+03,2.961e+05
54.8,3.091e+05,1.670e+03,5.337e+03,3.161e+05
56.3,3.438e+05,8.478e+02,2.895e+03,3.476e+05
57.8,4.116e+05,5.655e+02,1.813e+03,4.140e+05
59.3,5.034e+05,4.668e+02,1.198e+03,5.050e+05
60.9,6.224e+05,4.011e+02,8.141e+02,6.237e+05
62.4,7.736e+05,3.891e+02,6.110e+02,7.746e+05
63.9,9.616e+05,4.213e+02,5.863e+02,9.626e+05
65.4,1.207e+06,4.995e+02,8.188e+02,1.208e+06
67.0,1.547e+06,6.834e+02,1.331e+03,1.549e+06
68.5,1.979e+06,9.235e+02,2.244e+03,1.982e+06
70.0,2.325e+06,1.304e+03,2.864e+03,2.329e+06
71.5,2.596e+06,1.897e+03,3.008e+03,2.600e+06
73.0,3.303e+06,2.639e+03,3.867e+03,3.310e+06
74.6,4.241e+06,3.582e+03,5.466e+03,4.250e+06
76.1,5.320e+06,4.973e+03,7.224e+03,5.332e+06
