freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.315e+01,1.170e+02,3.501e+02,5.003e+02
1.5,5.334e+01,1.340e+02,2.161e+02,4.035e+02
3.0,4.342e+01,8.812e+01,4.805e+01,1.796e+02
4.5,4.353e+01,9.481e+01,4.883e+02,6.266e+02
6.1,4.270e+01,8.745e+01,1.911e+03,2.041e+03
7.6,4.474e+01,8.234e+01,3.205e+03,3.332e+03
9.1,4.199e+01,8.697e+01,4.673e+03,4.802e+03
10.6,4.505e+01,9.743e+01,6.467e+03,6.609e+03
12.1,4.244e+01,1.181e+02,8.655e+03,8.816e+03
13.6,3.897e+01,1.166e+02,1.144e+04,1.159e+04
15.2,4.312e+01,1.103e+02,1.472e+04,1.488e+04
16.7,6.107e+01,1.290e+02,1.870e+04,1.889e+04
18.2,8.266e+01,1.510e+02,2.326e+04,2.349e+04
19.7,9.261e+01,1.866e+02,2.772e+04,2.800e+04
21.2,1.209e+02,2.619e+02,3.403e+04,3.442e+04
22.7,1.920e+02,3.941e+02,4.186e+04,4.245e+04
24.3,2.736e+02,5.139e+02,4.692e+04,4.771e+04
25.8,2.449e+02,6.355e+02,5.165e+04,5.253e+04
27.3,1.789e+02,9.781e+02,6.310e+04,6.426e+04
28.8,1.441e+02,1.627e+03,8.040e+04,8.217e+04
30.3,1.249e+02,2.846e+03,1.041e+05,1.071e+05
31.8,1.235e+02,5.147e+03,1.409e+05,1.462e+05
33.3,1.327e+02,9.502e+03,1.909e+05,2.005e+05
34.9,1.777e+02,1.919e+04,2.790e+05,2.983e+05
36.4,2.785e+02,4.178e+04,4.266e+05,4.687e+05
37.9,4.450e+02,7.491e+04,5.581e+05,6.335e+05
39.4,5.936e+02,9.695e+04,5.554e+05,6.529e+05
40.9,7.745e+02,1.005e+05,4.631e+05,5.644e+05
42.4,9.865e+02,9.387e+04,3.682e+05,4.631e+05
44.0,1.120e+03,9.699e+04,3.189e+05,4.171e+05
45.5,1.209e+03,9.759e+04,2.565e+05,3.553e+05
47.0,1.423e+03,1.056e+05,2.161e+05,3.231e+05
48.5,1.946e+03,1.235e+05,1.950e+05,3.205e+05
50.0,2.929e+03,1.352e+05,1.635e+05,3.016e+05
51.5,4.144e+03,1.321e+05,1.225e+05,2.587e+05
53.1,5.141e+03,1.207e+05,8.507e+04,2.109e+05
54.6,5.817e+03,1.050e+05,5.723e+04,1.680e+05
56.1,6.192e+03,8.928e+04,3.717e+04,1.326e+05
57.6,7.267e+03,8.511e+04,2.549e+04,1.179e+05
59.1,8.687e+03,8.536e+04,1.761e+04,1.117e+05
60.6,1.036e+04,8.882e+04,1.238e+04,1.116e+05
62.1,1.229e+04,9.259e+04,9.040e+03,1.139e+05
63.7,1.444e+04,9.630e+04,8.034e+03,1.188e+05
65.2,1.743e+04,1.009e+05,9.797e+03,1.281e+05
66.7,2.146e+04,1.064e+05,1.382e+04,1.417e+05
68.2,2.638e+04,1.120e+05,1.956e+04,1.579e+05
69.7,3.101e+04,1.076e+05,2.435e+04,1.630e+05
71.2,3.444e+04,8.282e+04,2.245e+04,1.397e+05
72.8,4.322e+04,7.715e+04,2.670e+04,1.471e+05
74.3,5.728e+04,8.570e+04,4.007e+04,1.831e+05
75.8,7.616e+04,9.731e+04,6.315e+04,2.366e+05
77.3,1.032e+05,1.187e+05,1.004e+05,3.223e+05
78.8,1.407e+05,1.512e+05,1.552e+05,4.471e+05
80.3,1.751e+05,1.802e+05,2.128e+05,5.681e+05
81.8,1.759e+05,2.002e+05,2.643e+05,6.404e+05
83.4,1.478e+05,2.046e+05,3.005e+05,6.528e+05
84.9,1.166e+05,1.929e+05,3.103e+05,6.198e+05
86.4,9.151e+04,1.756e+05,3.001e+05,5.672e+05
87.9,7.165e+04,1.530e+05,2.796e+05,5.043e+05
89.4,5.793e+04,1.329e+05,2.503e+05,4.411e+05
90.9,4.724e+04,1.196e+05,2.174e+05,3.842e+05
92.5,4.339e+04,1.185e+05,2.042e+05,3.661e+05
94.0,4.252e+04,1.210e+05,2.086e+05,3.721e+05
95.5,3.848e+04,1.115e+05,1.883e+05,3.383e+05
97.0,3.307e+04,1.007e+05,1.643e+05,2.981e+05
